poisons path,model,target class,base class,num poisons,max perturbation norm,epoch,loss,training_acc,natural_acc,poison_acc
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/73/,pretrained_models/ResNet18_CIFAR100.pth,6,9,25,1.0,39,0.7078014373779297,75.8,69.61,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/74/,pretrained_models/ResNet18_CIFAR100.pth,1,3,25,1.0,39,0.6966046839952469,75.72,69.59,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/75/,pretrained_models/ResNet18_CIFAR100.pth,2,7,25,1.0,39,0.680150955915451,76.76,69.64,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/76/,pretrained_models/ResNet18_CIFAR100.pth,0,4,25,0.9960784316062927,39,0.6761760026216507,76.28,69.4,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/77/,pretrained_models/ResNet18_CIFAR100.pth,8,5,25,1.0,39,0.696848800778389,75.44,69.77,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/78/,pretrained_models/ResNet18_CIFAR100.pth,1,4,25,1.0,39,0.7101500123739243,76.72,69.26,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/79/,pretrained_models/ResNet18_CIFAR100.pth,0,8,25,1.0,39,0.6751943230628967,76.92,69.57,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/8/,pretrained_models/ResNet18_CIFAR100.pth,7,8,25,1.0,39,0.6839159995317459,76.48,69.25,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/80/,pretrained_models/ResNet18_CIFAR100.pth,1,9,25,1.0,39,0.6605525732040405,76.56,69.79,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/81/,pretrained_models/ResNet18_CIFAR100.pth,5,7,25,1.0,39,0.6856203436851501,75.68,69.57,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/82/,pretrained_models/ResNet18_CIFAR100.pth,5,4,25,1.0,39,0.6837256669998169,76.12,69.72,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/83/,pretrained_models/ResNet18_CIFAR100.pth,9,7,25,1.0,39,0.6793588101863861,76.52,69.47,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/84/,pretrained_models/ResNet18_CIFAR100.pth,9,0,25,1.0,39,0.6699974060058593,76.12,69.74,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/85/,pretrained_models/ResNet18_CIFAR100.pth,8,0,25,1.0,39,0.6535572648048401,77.16,69.52,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/86/,pretrained_models/ResNet18_CIFAR100.pth,9,0,25,1.0,39,0.6831526041030884,76.28,69.45,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/87/,pretrained_models/ResNet18_CIFAR100.pth,6,1,25,1.0,39,0.6793002888560296,76.24,69.41,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/88/,pretrained_models/ResNet18_CIFAR100.pth,1,3,25,1.0,39,0.6832797169685364,76.28,69.62,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/89/,pretrained_models/ResNet18_CIFAR100.pth,8,0,25,1.0,39,0.6692533165216445,76.08,69.74,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/9/,pretrained_models/ResNet18_CIFAR100.pth,8,0,25,1.0,39,0.6605730563402176,76.48,69.66,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/90/,pretrained_models/ResNet18_CIFAR100.pth,0,3,25,1.0,39,0.6804935425519943,76.64,69.96,True
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/91/,pretrained_models/ResNet18_CIFAR100.pth,2,3,25,1.0,39,0.6691299304366112,76.28,69.97,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/92/,pretrained_models/ResNet18_CIFAR100.pth,2,8,25,1.0,39,0.6818254202604294,76.4,69.38,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/93/,pretrained_models/ResNet18_CIFAR100.pth,9,7,25,1.0,39,0.685371732711792,76.08,69.59,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/94/,pretrained_models/ResNet18_CIFAR100.pth,3,0,25,1.0,39,0.6886921674013138,76.48,69.67,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/95/,pretrained_models/ResNet18_CIFAR100.pth,1,6,25,1.0,39,0.6875445902347564,76.72,69.44,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/96/,pretrained_models/ResNet18_CIFAR100.pth,9,1,25,1.0,39,0.6669636636972427,76.76,69.91,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/97/,pretrained_models/ResNet18_CIFAR100.pth,9,8,25,1.0,39,0.6795542359352111,76.16,69.56,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/98/,pretrained_models/ResNet18_CIFAR100.pth,7,3,25,1.0,39,0.6817604243755341,75.64,69.97,False
poison_examples/cifar10-transfer/badnets_poisons_red/badnets_poisons/99/,pretrained_models/ResNet18_CIFAR100.pth,0,3,25,1.0,39,0.6816527813673019,76.68,69.68,False
